meeboID	Cy5_ng	Cy3_ng	correctRatio	SeqID	Probe_Name	Name	Type
AmbionRnaSpike1	1.563	12.5	0.125	hSQ010743	AmbionRNASpike1_165	Ambion1	Ambion
AmbionRnaSpike1	1.563	12.5	0.125	hSQ014320	AmbionRNASpike1_222	Ambion1	Ambion
AmbionRnaSpike1	1.563	12.5	0.125	hSQ030095	AmbionRNASpike1_EC2	Ambion1	Ambion
AmbionRnaSpike2	6.25	50	0.125	hSQ014350	AmbionRNASpike2_EC12	Ambion2	Ambion
AmbionRnaSpike2	6.25	50	0.125	hSQ038214	AmbionRNASpike2_516	Ambion2	Ambion
AmbionRnaSpike3	1600	50	32	hSQ021667	AmbionRNASpike3_EC3	Ambion3	Ambion
AmbionRnaSpike3	1600	50	32	hSQ025754	AmbionRNASpike3_269	Ambion3	Ambion
AmbionRnaSpike3	1600	50	32	hSQ037730	AmbionRNASpike3_146	Ambion3	Ambion
AmbionRnaSpike4	800	3.125	256	hSQ003159	AmbionRNASpike4_918	Ambion4	Ambion
AmbionRnaSpike4	800	3.125	256	hSQ004440	AmbionRNASpike4_EC15	Ambion4	Ambion
AmbionRnaSpike4	800	3.125	256	hSQ027477	AmbionRNASpike4_220	Ambion4	Ambion
AmbionRnaSpike5	100	1600	0.062	hSQ020298	AmbionRNASpike5_EC17	Ambion5	Ambion
AmbionRnaSpike5	100	1600	0.062	hSQ024957	AmbionRNASpike5_425	Ambion5	Ambion
AmbionRnaSpike5	100	1600	0.062	hSQ039805	AmbionRNASpike5_931	Ambion5	Ambion
AmbionRnaSpike6	3.125	800	0.004	hSQ007402	AmbionRNASpike6_874	Ambion6	Ambion
AmbionRnaSpike6	3.125	800	0.004	hSQ008391	AmbionRNASpike6_688	Ambion6	Ambion
AmbionRnaSpike6	3.125	800	0.004	hSQ027377	AmbionRNASpike6_EC13	Ambion6	Ambion
AmbionRnaSpike7	1600	12.5	128	hSQ010724	AmbionRNASpike7_1334	Ambion7	Ambion
