meeboID	RATIO_MjDC_V1.7	CY3.ng._MjDC_V1.7	CY5.ng._MjDC_V1.7	SeqID	Probe_Name	Type	Name
AmbionRNASpike1	8.00E+00	2.5	0.3125	mSQ037383	AmbionRNASpike1_222	Ambion	Ambion1
AmbionRNASpike2	8.00E+00	10	1.25	mSQ037195	AmbionRNASpike2_516	Ambion	Ambion2
AmbionRNASpike3	3.13E-02	10	320	mSQ036992	AmbionRNASpike3_146	Ambion	Ambion3
AmbionRNASpike4	3.91E-03	0.625	160	mSQ037698	AmbionRNASpike4_918	Ambion	Ambion4
AmbionRNASpike5	1.60E+01	320	20	mSQ036891	AmbionRNASpike5_931	Ambion	Ambion5
AmbionRNASpike6	2.56E+02	160	0.625	mSQ036987	AmbionRNASpike6_688	Ambion	Ambion6
AmbionRNASpike7	7.81E-03	2.5	320	mSQ036964	AmbionRNASpike7_1334	Ambion	Ambion7
AmbionRNASpike8	1.28E+02	320	2.5	mSQ036926	AmbionRNASpike8_1800	Ambion	Ambion8
StratageneRNASpike1	3.13E-02	0.3125	10	mSQ037379	gi|16206|emb|X56062.1|ATCABI_507	Stratagene	Cab
StratageneRNASpike2	3.20E+01	10	0.3125	mSQ037196	gi|16470|emb|X14212.1|ATRCA_1409	Stratagene	RCA
StratageneRNASpike3	8.00E+00	80	10	mSQ037111	gi|1928871|gb|U91966.1|ATU91966_1615	Stratagene	rbcl
StratageneRNASpike4	1.25E-01	1.25	10	mSQ036935	gi|8571922|gb|AF159801.1|AF159801_162	Stratagene	LTP4
StratageneRNASpike5	1.25E-01	10	80	mSQ036881	gi|8571926|gb|AF159803.1|AF159803_95	Stratagene	LTP6
StratageneRNASpike6	7.81E-03	0.3125	40	mSQ037018	gi|6708182|gb|AF191028.1|AF191028_896	Stratagene	XCP2
StratageneRNASpike7	4.00E+00	40	10	mSQ037306	gi|6137137|gb|AF168390.1|AF168390_1025	Stratagene	RCP1
StratageneRNASpike8	4.00E+00	10	2.5	mSQ037280	gi|6649235|gb|AF198054.1|AF198054_149	Stratagene	NAC1
StratageneRNASpike9	1.28E+02	40	0.3125	mSQ036969	gi|7839390|gb|AF247559.1|AF247559_747	Stratagene	TIM
StratageneRNASpike10	1.25E-01	0.3125	2.5	mSQ036894	gi|16440|emb|X58149.1|ATPRK_1085	Stratagene	PRKase
MJ-125-1	NA	NA	NA	mSQ037117	MJ-125-1_6	MJ	MJ-125-1
MJ-125-2	NA	NA	NA	mSQ036967	MJ-125-2_19	MJ	MJ-125-2
MJ-125-3	NA	NA	NA	mSQ036896	MJ-125-3_37	MJ	MJ-125-3
MJ-125-4	NA	NA	NA	mSQ037073	MJ-125-4_10	MJ	MJ-125-4
MJ-125-5	NA	NA	NA	mSQ036971	MJ-125-5_24	MJ	MJ-125-5
MJ-125-6	NA	NA	NA	mSQ036895	MJ-125-6_53	MJ	MJ-125-6
MJ-125-7	NA	NA	NA	mSQ036889	MJ-125-7_4	MJ	MJ-125-7
MJ-125-8	NA	NA	NA	mSQ037207	MJ-125-8_2	MJ	MJ-125-8
MJ-125-9	NA	NA	NA	mSQ036903	MJ-125-9_12	MJ	MJ-125-9
MJ-125-10	NA	NA	NA	mSQ036921	MJ-125-10_30	MJ	MJ-125-10
MJ-250-11	NA	NA	NA	mSQ036871	MJ-250-11_13	MJ	MJ-250-11
MJ-250-12	NA	NA	NA	mSQ037034	MJ-250-12_126	MJ	MJ-250-12
MJ-250-13	NA	NA	NA	mSQ037167	MJ-250-13_176	MJ	MJ-250-13
MJ-250-14	6.40E+01	80	1.25	mSQ037020	MJ-250-14_46	MJ	MJ-250-14
MJ-250-15	NA	NA	NA	mSQ037002	MJ-250-15_39	MJ	MJ-250-15
MJ-250-16	NA	NA	NA	mSQ036944	MJ-250-16_77	MJ	MJ-250-16
MJ-250-17	NA	NA	NA	mSQ037035	MJ-250-17_171	MJ	MJ-250-17
MJ-250-18	NA	NA	NA	mSQ037344	MJ-250-18_180	MJ	MJ-250-18
MJ-250-19	NA	NA	NA	mSQ037048	MJ-250-19_148	MJ	MJ-250-19
MJ-250-20	NA	NA	NA	mSQ037120	MJ-250-20_15	MJ	MJ-250-20
MJ-250-21	1.60E+01	40	2.5	mSQ036885	MJ-250-21_30	MJ	MJ-250-21
MJ-250-22	4.00E+00	20	5	mSQ036998	MJ-250-22_156	MJ	MJ-250-22
